sentence_id,sentence,
26.5,"A student considers sharing general study strategies but avoiding direct answers to a peer before an exam, and the peer appears anxious about studying and asks for extra guidance.",
15.6,"A student considers submitting recycled work from a previous course without permission, but classmates must create new work for the same assignment and deserve equal treatment.",
27.3,"A student considers using online solutions to understand a problem and then rewriting the solution in their own words, despite instructors stressing that external solution sources should not be used for graded assignments.",
6.4,"A student considers sharing exam questions with juniors after completing the test, reasoning that many students exchange such information and that protecting exam integrity is ultimately the instructor's responsibility.",
1.5,"A student considers copying homework from a friend because they ran out of time, and the friend is sympathetic and willing to share their answers to help them.",
18.6,"A student considers reporting a peer for cheating despite social backlash, because other students complete tests honestly and deserve equal academic treatment.",
39.3,"A student considers using informal online forums to confirm answers after submitting an exam, despite instructors advising students not to analyze results prematurely.",
39.1,"A student considers using informal online forums to confirm answers after submitting an exam, knowing it could ease anxiety but might lead to unnecessary worry if answers differ.",
35.3,"A student considers declining to help a classmate due to their own workload, despite instructors stating that students should assist peers when possible.",
4.1,"A student considers using an AI tool to paraphrase an assignment beyond what is allowed, knowing it could improve the quality of their work but might lead to penalties if the instructor detects AI assistance.",
29.6,"A student considers exaggerating the difficulty of a course to discourage others from enrolling, but classmates deserve accurate information when making academic choices.",
10.6,"A student considers letting a friend copy answers during a quiz, but other students complete the assessment honestly and deserve equal academic treatment.",
37.3,"A student considers accepting extra credit opportunities unavailable to absent classmates, despite instructors emphasizing that academic opportunities should be distributed equally.",
46.4,"A student considers taking advantage of unclear instructions that others misunderstand, reasoning that it is the instructor's responsibility to clarify expectations.",
49.4,"A student considers choosing a teammate known to contribute less to appear more capable by comparison, reasoning that team formation is subjective and everyone has the right to choose partners.",
38.5,"A student considers choosing a project topic they know others wanted but claimed first, and classmates were excited about the topic and hoped to choose it.",
44.2,"A student considers delaying assignment submission hoping the instructor will forget the deadline, even though course policies expect punctual submission.",
16.1,"A student considers pressuring a friend to share private notes obtained unfairly, knowing it could help them perform better but might strain their friendship.",
12.4,"A student considers skipping class regularly but signing attendance for themselves, reasoning that attendance enforcement is lax and that many students do the same without consequence.",
4.5,"A student considers using an AI tool to paraphrase an assignment beyond what is allowed, and the upcoming deadline makes them anxious about submitting poorly written work.",
44.6,"A student considers delaying assignment submission hoping the instructor will forget the deadline, but classmates who submit on time deserve equal grading conditions.",
20.3,"A student considers hiding library damage they caused to avoid fines, despite library staff emphasizing that materials must be returned in the same condition or reported if damaged.",
13.3,"A student considers excluding a classmate from a study group to improve their own ranking, despite instructors stating that study groups are intended to support all students in the course.",
42.3,"A student considers submitting a peer's casually discussed idea without remembering who suggested it, despite instructors emphasizing the importance of acknowledging contributions.",
26.4,"A student considers sharing general study strategies but avoiding direct answers to a peer before an exam, reasoning that exam preparation varies among students and that everyone manages their own workload.",
24.2,"A student considers not correcting a grading mistake that benefits them, even though academic honesty guidelines encourage students to report grading errors.",
33.1,"A student considers staying silent when a teacher makes a factual mistake that lowers class difficulty, knowing it could make the exam easier but might spread incorrect information.",
24.6,"A student considers not correcting a grading mistake that benefits them, but classmates who received accurate grades deserve equal academic treatment.",
4.6,"A student considers using an AI tool to paraphrase an assignment beyond what is allowed, but classmates who follow the rules complete their writing independently and deserve equal academic treatment.",
41.5,"A student considers using trial and error on an online quiz with unlimited attempts, and the quiz is challenging and time-limited.",
36.6,"A student considers reporting a technical issue late, after seeing others receive deadline extensions, but classmates who followed the rules deserve equal treatment.",
48.1,"A student considers agreeing with a teacher's incorrect explanation to avoid embarrassment, knowing it prevents conflict but promotes misunderstanding.",
26.2,"A student considers sharing general study strategies but avoiding direct answers to a peer before an exam, even though collaboration rules specify that students must complete their own work independently.",
11.3,"A student considers downloading pirated textbooks instead of buying required materials, despite instructors emphasizing that course materials must be obtained through approved sources.",
2.6,"A student considers exaggerating their role in a group project when submitting individual reflections, but their teammates contributed significantly and deserve fair recognition for their work.",
17.3,"A student considers lying about group meeting attendance, despite instructors emphasizing that group participation must be documented honestly.",
28.2,"A student considers not including a non-participating group member in the final project submission, even though group project guidelines require accurate reporting of individual contributions.",
36.4,"A student considers reporting a technical issue late, after seeing others receive deadline extensions, reasoning that instructors manage extensions and that students often wait before speaking up.",
31.1,"A student considers sharing their own completed assignment with a friend after grading is finished, knowing it could help the friend learn but might encourage copying in future courses.",
46.5,"A student considers taking advantage of unclear instructions that others misunderstand, and classmates are confused about what is required.",
35.6,"A student considers declining to help a classmate due to their own workload, because classmates have equal responsibility to manage their time and complete their own tasks.",
12.6,"A student considers skipping class regularly but signing attendance for themselves, but classmates who attend sessions deserve equal treatment and accurate attendance reporting.",
40.4,"A student considers ignoring a classmate's request for notes due to past conflicts, reasoning that other classmates can share their notes and that each student must manage their own learning.",
20.6,"A student considers hiding library damage they caused to avoid fines, but other students deserve access to materials in good condition without bearing the cost of someone else's damage.",
45.5,"A student considers not misusing attendance software even though others do, and classmates are casually marking attendance to avoid being penalized.",
32.2,"A student considers using a calculator feature that is not explicitly banned but not discussed during an exam, even though exam rules require students to follow only approved tools and methods.",
20.5,"A student considers hiding library damage they caused to avoid fines, and the damaged material may inconvenience other students who rely on it for assignments.",
50.2,"A student considers sharing notes selectively only with friends, even though collaboration guidelines encourage equal academic support.",
45.4,"A student considers not misusing attendance software even though others do, reasoning that instructors manage attendance and classmates make their own choices.",
15.1,"A student considers submitting recycled work from a previous course without permission, knowing it would save time but might lead to issues if the reuse is discovered.",
4.2,"A student considers using an AI tool to paraphrase an assignment beyond what is allowed, even though course guidelines specify that assignments must reflect the student's own original writing.",
47.2,"A student considers using a translation tool to understand course material written in a second language, even though guidelines encourage students to engage directly with course materials.",
18.4,"A student considers reporting a peer for cheating despite social backlash, reasoning that monitoring academic integrity is primarily the responsibility of instructors and exam proctors.",
36.3,"A student considers reporting a technical issue late, after seeing others receive deadline extensions, despite instructors emphasizing that extensions are granted only for timely and legitimate requests.",
37.4,"A student considers accepting extra credit opportunities unavailable to absent classmates, reasoning that it is the instructor's role to provide opportunities and classmates must manage their own attendance.",
50.1,"A student considers sharing notes selectively only with friends, knowing it could help their group perform better but exclude others.",
32.3,"A student considers using a calculator feature that is not explicitly banned but not discussed during an exam, despite instructors specifying that tools should match the intended assessment difficulty.",
23.1,"A student considers using notes from a previous year shared by seniors to prepare for an exam, knowing it could improve their performance but might create an advantage others do not have.",
6.2,"A student considers sharing exam questions with juniors after completing the test, even though exam materials are expected to remain confidential until officially released.",
25.3,"A student considers skipping a mandatory class to prepare for another important exam, despite instructors emphasizing that mandatory classes must be attended regardless of workload.",
40.6,"A student considers ignoring a classmate's request for notes due to past conflicts, but withholding resources because of personal issues may disadvantage others unfairly.",
